strategy,seed,score,rank,selected,candidate_path
auto_landmark_memory,7,0.819941,4,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
auto_landmark_memory,8,0.811348,7,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
no_memory,1,,1,1,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
no_memory,2,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
no_memory,3,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
no_memory,4,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
no_memory,5,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
no_memory,6,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
no_memory,7,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
no_memory,8,,,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
recent_only,1,0.886462,4,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
recent_only,2,0.874624,7,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
recent_only,3,0.891464,2,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
recent_only,4,0.869311,8,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
recent_only,5,0.879942,6,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
recent_only,6,0.890193,3,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
recent_only,7,0.899912,1,1,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
recent_only,8,0.882281,5,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
uniform_memory,1,0.941255,1,1,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
uniform_memory,2,0.920527,6,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
uniform_memory,3,0.921821,5,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
uniform_memory,4,0.927047,4,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
uniform_memory,5,0.915790,8,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
uniform_memory,6,0.930347,3,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
uniform_memory,7,0.931335,2,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
uniform_memory,8,0.916202,7,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
wrong_scene_memory,1,0.645154,7,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed1.mp4
wrong_scene_memory,2,0.635182,8,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed2.mp4
wrong_scene_memory,3,0.655543,2,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed3.mp4
wrong_scene_memory,4,0.646991,5,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed4.mp4
wrong_scene_memory,5,0.661841,1,1,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed5.mp4
wrong_scene_memory,6,0.645689,6,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed6.mp4
wrong_scene_memory,7,0.651559,3,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed7.mp4
wrong_scene_memory,8,0.650037,4,0,external_repos/Matrix-Game/Matrix-Game-2/outputs/runs/20260617_007_gta_landmark_memory_v1/candidates/candidate_seed8.mp4
